company_name,services_provided,mbe_wbe_cert,small_local_cert,veteran_cert,sdo_certified,city_registered,address,city,state,zipcode,contact_name,contact_title,phone,fax,email,website,business_type,construction,date_business_established,number_employees,cob_category_codes1,cob_category_codes2,cob_category_codes3,naics_codes1,naics_codes2,naics_codes3,unspsc_code1,unspsc_code2,unspsc_code3
Law Offices of Jennifer R. DeFeo,Professional Legal Services   ,WBE,SLBE,,No,Yes,"10 Bremen Street, Second Floor, East Boston, MA 2128",East Boston,MA,2128,Jennifer DeFeo,,(617) 561-0151,,,,Sole Proprietorship,No,01/01/1995,Less than 10,AT - Attorneys,,,,,,,,
Law Offices of John R. Shek,Legal services   in court,MBE,SLBE,,Yes,No,"141 Tremont Street, 11th Floor, Boston, MA 02111",Boston,MA,02111,John Shek,John Shek,(617) 723-1223,(617) 742-5734,noemailaddresslisted@gmail.com,,Sole Proprietorship,No,01/01/1988,Less than 10,AT - Attorneys,,,541110 - Offices of Lawyers,,,46150000 - Law enforcement,,
Linda Wellness Warrior,Yoga; workshop facilitation; curriculae development,MWBE,SBE,,No,Yes,"320R Brookline Street, Cambridge, MA 2139",Cambridge,MA,2139,Linda Wells,,(617) 448-5512,,contact@lindawellnesswarrior.com,,Sole Proprietorship,No,01/01/2015,Less than 10,"COH - Consultants: Health, Psychological",,,611699 - All Other Miscellaneous Schools and Instruction ,,,,,
"Logan Communications International, Inc.","Provide business and independent professionoals with the resources, support and tools needed for sustained success and growth   ",,SLBE,,No,No,"P.O. Box 549, East Boston, MA 2128",East Boston,MA,2128,Hajar Abdurrahim-Logan,,(617) 569-8720,,,,Corporation,No,01/01/1999,Less than 10,"OS - Office Services (Clerical Support, Employment, Court Reporting, Typing, etc., see also EM)",MK - Marketing,,561210 - Facilities Support Services,,,,,
Lowe Plumbing & Heating,Plumbing and heating contractors   ,MBE,SLBE,,No,Yes,"90 West Cottage Street, Dorchester, MA 2125",Dorchester,MA,2125,Eugene Lowe,,(617) 541-3446,,,,Corporation,No,01/01/1996,Less than 10,PB - Plumbing,,,,,,,,
"Lulu Green, LLC","Restaurant, cafe, bakery, juice bar",WBE,SLBE,,No,Yes,"246 West Broad, Boston, MA 2127",Boston,MA,2127,Mary Lattouf,,(617) 460-9925,,mary@lulugreen.com,,Limited Liability Company,No,01/01/2019,Less than 10,"FD - Food Products, Services",,,722511 - Full-Service Restaurants ,722513 - Limited-Service Restaurants ,,73130000 - Food and beverage industries,,
Luminous LLC,Insight and strategy consulting firm specializing in helping governments improve health outcomes,WBE,SLBE,,Yes,Yes,"85 Seaport Boulevard, PH 1707, Boston, MA 2210",Boston,MA,2210,Noel Theodosiou,,(781) 524-7204,,hello@luminouseffect.com,https://www.luminouseffect.com/,Limited Liability Company,No,01/01/2014,Less than 10,COM - Consultants: Management,COP - Consultants: Public Relations,COS - Consultants: Systems Analysis,541613 - Marketing Consulting Services ,541910 - Marketing Research and Public Opinion Polling,611430 - Professional and Management Development Training ,80100000 - Management advisory services,,
LXC Engineering Group LLC,"Mechanical, Electrical, Plumbing, Fire Alarm, Fire Protection, Security systems (MEP/FA/FP/CCTV) Engineers, PV Solar Engineers, BAS Engineers, Renewable Energy Engineers, commissioning, building analysis & modeling, energy studies, energy auditing, and construction management. ",MBE,SBE,,Yes,No,"319 Lynnway, Suite 303B, Lynn, MA 01901",Lynn,MA,01901,Louis Chrispin,Schmid Belleus,(617) 273-5635,(857) 366-6389,lchrispin@lxceg.com,www.lxceg.com,Limited Liability Company,No,01/01/2018,Less than 10,AE - Architects/Engineers,"COA - Consultants: Architecture, Engineering",COD - Consultants: Design,541310 - Architectural Services,541330 - Engineering Services,541350 - Building Inspection Services,81100000 - Professional engineering services,39130000 - Electrical wire management devices and accessories and supplies,23210000 - Electronic manufacturing machinery and equipment and accessories
"M & A Architectural Preservation, Inc.","Finish carpentry contractor:  restoration, windows and doors   ",WBE,SBE,,Yes,No,"433 Market Street, Lawrence, MA 01843",Lawrence,MA,01843,Susan Muckle,Susan G Muckle,(978) 683-0880,(978) 683-8370,suemuckle@archpres.com,www.archpres.com,Corporation,Yes,01/01/1991,11 - 20,CA - Carpentry,CN - Construction Management: Small Commercial Projects,GC - General Contractors,236220 - Commercial and Institutional Building Construction ,238350 - Finish Carpentry Contractors,238150 - Glass and Glazing Contractors ,72150000 - Specialized trade construction and maintenance services,,
"M & A Supplier Diversity Consultants, LLC","Consulting; small business training and workshops; business development and technical assistance; assistance with State and Federal certifications and renewals; grant writing; supplier diversity plans, bid consulting services, and vendor management assessment.",MWBE,SBE,,Yes,No,"197 Winthrop Street, Taunton, MA 02780",Taunton,MA,02780,Maria Gonzalez,,(508) 298-2251,(857) 232-1247,masupplierdiversityconsultants@gmail.com,https://supplierdiversityconsultants.com,Limited Liability Company,No,01/01/2019,Less than 10,COM - Consultants: Management,TA - Training (see also ED),,541611 - Administrative Management and General Management Consulting Services ,541618 - Other Management Consulting Services ,611430 - Professional and Management Development Training ,86130000 - Specialized educational services,80100000 - Management advisory services,
"Mabbett & Associates, Inc.",Environmental Engineering and Planning; Site Assessment and Remediation; Occupational Safety and Health; Environmental Compliance and Management; Environmental Health and Safety Training,,SBE,SDVOB,No,No,"105 Central Street, Suite 4100, Stoneham, MA 02180",Stoneham,MA,02180,Arthur Mabbett,"Arthur N. Mabbett, Chairman and CEO",(781) 275-6050,(781) 275-2557,mabbett@mabbett.com,www.mabbett.com,Corporation,No,01/01/1980,41 - 100,"EN - Environmental Consultants ( Planning, Soil Boring, Hazardous Waste Treatment, etc.)",CON - Consultants: Environmental,TA - Training (see also ED),562910 - Remediation Services ,541330 - Engineering Services,541620 - Environmental Consulting Services,77100000 - Environmental management,,
"Madhouse Motors, LLC",General motorcycle repairs and maintenance,WBE,SLBE,,No,No,"24 Blue Hill Avenue, Boston, MA 2119",Boston,MA,2119,Julia Shia,Julia Shia,(617) 686-0740,,madhousemotors@gmail.com,,Limited Liability Company (LLC),No,01/01/2012,Less than 10,"AU - Automobile (Sales, Services, Leasing, Rental)",,,811111 - General Automotive Repair ,811198 - All Other Automotive Repair and Maintenance ,,25100000 - Motor vehicles,,
Marilyn Humphries Photography,"Editorial and event photography; annual reports, portrait photography; new, stock and location photography   ",WBE,SBE,,Yes,Yes,"6 Brimbal Hills Drive, Beverly, MA 01915",Beverly,MA,01915,Marilyn Humphries,Ms. Marilyn Humphries,(978) 921-1633,(978) 921-5935,mhumphries@nii.net,,Partnership,No,01/01/1988,Less than 10,PG - Photography,,,"541921 - Photography Studios, Portrait ",541922 - Commercial Photography ,,82130000 - Photographic services,,
"Mass Remodeling and Painting, Inc.","Painting, repairs and bathroom remodeling commercial and residential  ",MBE,SLBE,,Yes,Yes,"31 Norfolk Street, Boston, MA 2124",Boston,MA,2124,Brenda Marrero,"Elvis Nunez, Owner",(617) 517-5445,(617) 517-5445,massremodeling@gmail.com,www.massremodelingandpainting.com,Corporation,Yes,01/01/2007,Less than 10,PA - Painting and Papering Contractors,GC - General Contractors,,238320 - Painting and Wall Covering Contractors,236220 - Commercial and Institutional Building Construction ,,72120000 - Nonresidential building construction services,,
"Maverick Media, LLC",Advertising:  outside advertising   ,WBE,SBE,,Yes,Yes,"7 Howe Street, Watertown, MA 02472",Watertown,MA,02472,Valerie Barsom,"Valarie Barsom, President",(617) 407-6344,,vbarsom1960@gmail.com,,Limited Liability Company,No,01/01/2016,Less than 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,,,541850 - Outdoor Advertising,,,82100000 - Advertising,,
McCormick Bowers Associates,"Organizational Development, especially in diversity, strategic planning, team development; multi-cultural consultants, consulting with community based organizations on resource development   ",WBE,SLBE,,Yes,No,"10 Lochstead Avenue, Jamaica Plain, MA 2130",Jamaica Plain,MA,2130,Jane Bowers,,(617) 536-3426,(617) 720-2765,janemcba@aol.com,,Sole Proprietorship,No,01/01/1987,Less than 10,COG - Consultants: Human Resources,COM - Consultants: Management,TA - Training (see also ED),,,,,,
"McKenzie & Edwards, P.C.",Legal services: litigation; real estate; corporate; bankruptcy; banking/finance; and labor/employment   ,MBE,SLBE,,Yes,Yes,"183 State Street, Unit 6, Boston, MA 2109",Boston,MA,2109,Denzil McKenzie,,(617) 723-0400,(617) 723-7234,dmckenzie@mckenzielawpc.com,,Corporation,No,01/01/1984,20-Nov,AT - Attorneys,,,,,,,,
"McNish Building and Development, Inc.",General contractor specializing in construction; home remodeling; and building/development   ,MBE,SLBE,,No,Yes,"61 Granite Avenue, Dorchester, MA 2124",Dorchester,MA,2124,Hansley McNish,Hansley McNish,(617) 501-0075,,mcnish12@hotmail.com,www.mcnishbuildinganddevelopment.com,Corporation,Yes,01/01/2010,Less than 10,GC - General Contractors,WE - Welding (see also FB),RS - Residential Services,236118 - Residential Remodelers ,236220 - Commercial and Institutional Building Construction ,236116 - New Multifamily Housing Construction (except For-Sale Builders) ,72110000 - Residential building construction services,72120000 - Nonresidential building construction services,
"Medi Print, Inc. dba The Print House",Printing and related services; print shop   ,,SBE,,No,Yes,"200 Maplewood Street, Malden, MA 2148",Malden,MA,2148,Paul Doucette,,(781) 324-4455,(781) 324-2777,pdoucette@printhouse.com,,Corporation,No,01/01/1983,21 - 40,PT - Printers,,,561439 - Other Business Service Centers (including Copy Shops) ,,,55100000 - Printed media,82121500 - Printing Services,
"Meichi Peng Design Studio, Inc.",Interior Design; Interior Architectural Design   ,MWBE,SLBE,,No,No,"95 Broadway, FL 2, Boston, MA 02116",Boston,MA,02116,Meichi Peng,Ms. Meichi Peng,(617) 521-8660,(617) 521-8661,np@meichipeng.com,,Corporation,No,01/01/2007,Less than 10,IT - Interior Deisgn Services,,,541410 - Interior Design Services,,,30160000 - Interior finishing materials,,
Melo's Rodbusters,Installation of rebar and mesh and accessories   ,WBE,SBE,,No,No,"878 Smith Neck Road, South Dartmouth, MA 2748",South Dartmouth,MA,2748,Goreti Melo,Ms. Goreti Melo,(508) 984-1745,(508) 984-5245,gmelo610@msn.com,,Sole Proprietorship,Yes,01/01/2001,Less than 10,"ST - Steel Contractos (Reinforcing, Erecting, see also FB, GC)",,,238120 - Structural Steel and Precast Concrete Contractors ,,,30100000 - Structural components and basic shapes,,
Moyer Engineering,Professional engineering services,,SLBE,,No,No,"780 Boylston Street, Boston, MA 2199",Boston,MA,2199,David Moyer,,(207) 251-0465,,dmoyer@moyereng.com,,Sole Proprietorship,No,01/01/2020,Less than 10,AE - Architects/Engineers,"COA - Consultants: Architecture, Engineering",COU - Consultants: Transportation,541330 - Engineering Services,,,,,
Myrna Johnston Audio,"Sound services:  set up microphones, loudspeakers, etc. for meetings, concerts, etc.; sell/supply sound equipment   ",WBE,SLBE,,Yes,Yes,"8 Spring Park Avenue, Jamaica Plain, MA 2130",Jamaica Plain,MA,2130,Myrna Johnston,,(617) 522-8442,(617) 522-7692,,,Sole Proprietorship,No,01/01/1986,Less than 10,"COA - Consultants: Architecture, Engineering",COT - Consultants: Telecommunications,"EO - Electronic Parts (Mgfs., Distrib., Assembly Service)",,,,,,
"National Interior Solutions, LLC","Sanitation services; janitorial services, odor control",,SLBE,,No,Yes,"77 Sleeper Street, Boston, MA 2210",Boston,MA,2210,Naz Senaldi,,(857) 284-8431,,info@natinteriors.com,,Limited Liability Company,No,01/01/2018,Less than 10,"JA - Janitorial Services/Supplies (see also MA, RS)","MA - Maintenance (Industrial, Commericial, Residential, see also JA, RS)",,561720 - Janitorial Services ,,,76110000 - Cleaning and janitorial services,,
Nesam Cleaning Company,Janitorial cleaning; painting; landscaping   ,MWBE,SBE,,No,No,"46 Marston Street, Lawrence, MA 1841",Lawrence,MA,1841,Agnes Fadarey,,(978) 375-7910,,nesam@comcast.net,,Sole Proprietorship,No,01/01/1997,Less than 10,"JA - Janitorial Services/Supplies (see also MA, RS)","MA - Maintenance (Industrial, Commericial, Residential, see also JA, RS)",RS - Residential Services,561720 - Janitorial Services ,561730 - Landscaping Services,561790 - Other Services to Buildings and Dwellings ,,,
"New England Window Systems, Inc.","Energy efficient windows (new and replacement), doors, entrance systems; glazing and related products and services   ",,SLBE,SVOB,No,Yes,"30 H Street, South Boston, MA 2127",South Boston,MA,2127,Russell Hadaya,,(617) 269-6397,(617) 269-8053,russell@fiberglasswindows.com,,Corporation,Yes,01/01/1980,Less than 10,SU - Suppliers,,,238150 - Glass and Glazing Contractors ,238350 - Finish Carpentry Contractors,332321 - Metal Window and Door Manufacturing ,30170000 - Doors and windows and glass,,
"NXTevent, Inc.",Special event design; transportation management; airport meet and greet; dine arounds; hospitality management; tour programs; excursions; entertainment   ,WBE,SBE,,Yes,No,"100 Conifer Hill Drive, Suite 515, Danvers, MA 01923",Danvers,MA,01923,Allyson O'Connor,Allyson O'Connor,(617) 904-9050,(617) 307-6257,ally@nxtevent.com,http://www.nxtevent.com,Corporation,No,,Less than 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,,,561920 - Convention and Trade Show Organizers,541613 - Marketing Consulting Services ,,90150000 - Entertainment services,,
Obbagy Consulting,Executive environmental and social leadership; qualitative environmental and social risk assessments   Environmental management strategy,WBE,SBE,,Yes,Yes,"28 Lenox Street, Newton, MA 2465",Newton,MA,2465,Jane Obbagy,Jane E. Obbagy,(617) 921-1515,,jeo@obbagyconsulting.com,https://www.obbagyconsulting.com,Sole Proprietorship,No,01/01/2015,Less than 10,"EN - Environmental Consultants ( Planning, Soil Boring, Hazardous Waste Treatment, etc.)",BU - Business Management Consultants,,541620 - Environmental Consulting Services,541618 - Other Management Consulting Services ,,81100000 - Professional engineering services,77100000 - Environmental management,77100000 - Environmental management
"OKW, Inc.",Design and manufacturing of women's clothing  ,MBE,SLBE,,No,No,"631 Tremont Street, Boston, MA 2118",Boston,MA,2118,Waheeda Ali-Salaam,,(617) 266-4114,(617) 266-6182,,,Corporation,No,01/01/1987,Less than 10,AL - Apparel,,,,,,,,
"Olmstead Associates, LLC",A boutique consultancy focused on driving operational agility into the investment management industry using a unique data-centric approach,,SLBE,,No,No,"185 Devonshire Street, Suite 1000, Boston, MA 02110",Boston,MA,02110,Stephen Alepa,Stephen Alepa,(617) 807-6058,,murray@olmst.com,www.olmst.com,Limited Liability Company (LLC),No,01/01/1995,11 - 20,COM - Consultants: Management,COI - Consultants: Insurance & Financial,BU - Business Management Consultants,541611 - Administrative Management and General Management Consulting Services ,"541990 - All Other Professional, Scientific, and Technical Services",,84120000 - Banking and investment,,
OnyxGroup Development & Brokerage,Consulting; Property Management; Development; Brokerage,MWBE,SLBE,,No,Yes,"50 Moreland Street, Roxbury, MA 02119",Roxbury,MA,02119,Chanda Smart,CEO,(617) 249-3081,(857) 770-9651,csmart@onyxbos.com,www.onyxbos.com,Limited Liability Company (LLC),No,01/01/2021,Less than 10,"RE - Real Estate (Development, Management, Sales and Appraisals)",,,531390 - Other Activities Related to Real Estate ,531210 - Offices of Real Estate Agents and Brokers,,80130000 - Real estate services,,
Outkast Electrical Contractors,"Electrical contractors, commercial and residential   ",MBE,SLBE,,No,No,"39 Johnston Road, Dorchester, MA 2124",Dorchester,MA,2124,Paul Gray,,(617) 822-0244,,paulgray39@msn.com,,Partnership,Yes,01/01/1997,Less than 10,EL - Electrical Contractors,,,,,,,,
"over,under Inc.",Architecture; interiors; urban and design; exhibit design; graphic identity; and publications   ,,SLBE,,No,Yes,"46 Waltham St, Courtyard 1, Boston, MA 2118",Boston,MA,2118,Mark Pasnik,,(617) 426-4466,(617) 507-2430,pasnik@overcommaunder.com,,Corporation,No,01/01/2006,Less than 10,AE - Architects/Engineers,"COA - Consultants: Architecture, Engineering",COD - Consultants: Design,541310 - Architectural Services,,,,,
Patricia Cleaning,"Residential, Commercial and Construction Cleaning   ",MWBE,SBE,,No,No,"31 Woodcock Avenue, Haverill, MA 1832",Haverill,MA,1832,Santa Sloane,"Santa Sloane, Owner",(978) 645-1226,,patriciacleaning50@gmail.com,,Sole Proprietorship,No,01/01/2016,Less than 10,"JA - Janitorial Services/Supplies (see also MA, RS)","MA - Maintenance (Industrial, Commericial, Residential, see also JA, RS)",,561720 - Janitorial Services ,561790 - Other Services to Buildings and Dwellings ,561740 - Carpet and Upholstery Cleaning Services,47130000 - Cleaning and janitorial supplies,76110000 - Cleaning and janitorial services,
Perry's Catering,Caterers   ,MBE,SLBE,,No,Yes,"499B Washington Street, Dorchester, MA 02124",Dorchester,MA,02124,Kenneth Perry,Mr. Kenneth Perry,(617) 413-8732,(617) 265-0002,prryperrys@aol.com,www.perrysgourmet.com,Corporation,No,2002,Less than 10,CT - Catering,,,722320 - Caterers,,,90100000 - Restaurants and catering,50190000 - Prepared and preserved foods,90100000 - Restaurants and catering
Pillar Search and HR Consulting,Executive Search; Recruiting; Human Resource Consulting,WBE,SLBE,,No,Yes,"389 Beacon Street, #9, Boston, MA 02116",Boston,MA,02116,Cynthia Joyce,,(617) 529-7708,,cindy@pillarsearch.com,https://www.pillarsearch.com,Sole Proprietorship,No,01/01/2015,Less than 10,COG - Consultants: Human Resources,"EM - Employement (see also OS, TR)",BU - Business Management Consultants,541612 - Human Resources Consulting Services ,,,80110000 - Human resources services,,
Pressed for Time Printing dba ProPrint,Printing and copying services   ,,SLBE,,No,No,"133 South Street, Boston, MA 2111",Boston,MA,2111,Joseph Arthur,,(617) 267-4113,,orders@proprintboston.com,,Sole Proprietorship,No,01/01/1994,21 - 40,PT - Printers,,,,,,55100000 - Printed media,82121500 - Printing Services,
"Prestige Construction, LLC",Kitchen remodel; bathroom; roof; siding; decks; windows; doors; foundations: additions ,MBE,SLBE,,No,Yes,"1295 River Street, Hyde Park, MA 2136",Hyde Park,MA,2136,Josue Soto,,(617) 652-6853,,jsoto@prestigeconstructionllc.com,,Limited Liability Company,Yes,01/01/2018,Less than 10,GC - General Contractors,CA - Carpentry,CM - Concrete & Masonry Contractors,236118 - Residential Remodelers ,236220 - Commercial and Institutional Building Construction ,,30110000 - Concrete and cement and plaster,52130000 - Window treatments,30170000 - Doors and windows and glass
Prince Street Ltd.,Full service catering;   ,WBE,SLBE,,No,No,"8 Perkins Street, Jamaica Plain, MA 2130",Jamaica Plain,MA,2130,Laura Edelstein,,(617) 983-0440,,laurathecaterer@aol.com,,Corporation,No,01/01/1984,20-Nov,CT - Catering,"CS - Concession Stands (Food, Newspa[er, Cigarettes, etc.)",,722320 - Caterers,,,,,
"Prive Parking, LLC","Valet parking, transportation, garage management, consulting",MBE,SLBE,,No,Yes,"409 Dudley Street, #8, Boston, MA 02119",Boston,MA,02119,Ricardo Pierre-Louis,Ricardo Pierre-Louis,(508) 326-6929,,ricardo@priveparkingboston.com,www.priveparkingboston.com,Limited Liability Company (LLC),No,01/01/2012,21 - 40,"PK - Parking Lot (Mgmt., Maintenance)",,,812930 - Parking Lots and Garages ,,,78140000 - Transport services,,
Pure Colors,"Painting,contractor, residential and commercial, interior and exterior; carpentry, tile and masonry.   ",WBE,SBE,,Yes,Yes,"374 River Road, Hudson, MA 1749",Hudson,MA,1749,Mirela DoValle,,(978) 562-7873,,mirela@purecolorsllc.com,,Limited Liability Company,Yes,01/01/2015,Less than 10,PA - Painting and Papering Contractors,CA - Carpentry,CM - Concrete & Masonry Contractors,238320 - Painting and Wall Covering Contractors,238340 - Tile and Terrazzo Contractors,238140 - Masonry Contractors ,,,
Rafanelli Events,"Events planner:  event design, management and production services   ",,SLBE,,No,No,"867 Boylston Street, Boston, MA 2116",Boston,MA,2116,Bryan Rafanelli,,(617) 357-1818,,,,Sole Proprietorship,No,,Less than 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,,,561920 - Convention and Trade Show Organizers,"711320 - Promoters of Performing Arts, Sports, and Similar Events without Facilities ",,,,
"Rapport International, LLC",Foreign language translation and interpretation   ,WBE,SBE,,No,Yes,"93 Moore Road, Sudbury, MA 01776",Sudbury,MA,01776,Wendy Pease,,(978) 443-2540,,wendypease@rapportintl.com,,Limited Liability Company,No,01/01/2004,Less than 10,COV - Consultants: Translation,,,541930 - Translation and Interpretation Services,541613 - Marketing Consulting Services ,541618 - Other Management Consulting Services ,82110000 - Writing and translations,93120000 - International relations,80140000 - Marketing and distribution
"Razz-M-Tazz Promotions, LLC",Imprinted promotional products; embroidered and silkscreened apparel; awards; gifts; incentives; safety clothing; trade show items; posters; banners and flags; print material; etc.   ,WBE,SBE,,Yes,Yes,"P.O. Box 620, Westminster, MA 1473",Westminster,MA,1473,Gail Sabettini,,(877) 874-0502,(978) 874-1057,gail@razz-m-tazz.com,,Sole Proprietorship,No,01/01/2002,Less than 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,AL - Apparel,,454390 - Other Direct Selling Establishments ,,,82121500 - Printing Services,,
"Refinishing Oracle, LLC, The",Furniture refinishing; repairs; restoration; architectural salvage pieces; antiques; furniture insurance claims; custom furniture makers   ,MWBE,SBE,,Yes,No,"1094 Main Street, Acushnet, MA 02743",Acushnet,MA,02743,Maria Gonzalez,,(508) 985-0000,(508) 298-2251,therefinishingoracle@gmail.com,therefinishingoracle.com,Limited Liability Company,No,01/01/2017,Less than 10,"FR - Furniture (Repair, Refinishing, Sales) see also OF",,,811420 - Reupholstery and Furniture Repair,811420 - Reupholstery and Furniture Repair,,56130000 - Merchandising furniture and accessories,56130000 - Merchandising furniture and accessories,
"Resource Connection, Inc., The","Employment services:  temporary staffing, temp-to-hire, and direct hire of office support and administrative personnel   ",WBE,SBE,,Yes,No,"161 South Main Street, Suite 300, Middleton, MA 01949",Middleton,MA,01949,Janet Santa Anna,,(978) 777-9333,(978) 777-3360,janet@resource-connection.com,www.resource-connection.com,Corporation,No,01/01/1987,41 - 100,"EM - Employement (see also OS, TR)","OS - Office Services (Clerical Support, Employment, Court Reporting, Typing, etc., see also EM)",,561320 - Temporary Help Services,561110 - Office Administrative Services,561311 - Employment Placement Agencies ,80110000 - Human resources services,80160000 - Business administration services,
"Risk Management Solutions of America, Inc","Insurance:  back office support services-TPA, call center, insurance claims & investigations, managed care, bill review, wholesale brokerage, risk management consulting, enrollment services, safety loss control, fraud detection   ",MBE,SBE,,No,No,"309 W. Washington, Suite 200, Chicago, IL 60606",Chicago,IL,60606,Bennie Jones,,(312) 960-6200,(312) 960-1920,bjones@rmsoa.com,,Corporation,No,01/01/1996,11 - 20,"COH - Consultants: Health, Psychological",COI - Consultants: Insurance & Financial,COM - Consultants: Management,524291 - Claims Adjusting ,524298 - All Other Insurance Related Activities ,524210 - Insurance Agencies and Brokerages ,84130000 - Insurance and retirement services,,
"Robinson Deabler Architects, Inc.",Architectural design services   ,,SLBE,,No,No,"535 Albany Street, #405, Boston, MA 02118",Boston,MA,02118,Eric Robinson,,(617) 422-0090,,shelley@rodearchitects.com,www.rodearchitects.com,Corporation,No,01/01/2007,21 - 40,AE - Architects/Engineers,,,541310 - Architectural Services,,,81100000 - Professional engineering services,,
"Rosies Place, Inc. Womens Craft Cooperative",Jewelry and desktop assessories   ,MWBE,SLBE,,No,Yes,"889 Harrison Avenue, Boston, MA 2118",Boston,MA,2118,Sue Marsh,,(617) 442-9322,,smariono@rosiesplace.org,,Non Profit,No,01/01/1974,20-Nov,MU - Manufacturers,,,,624310 - Vocational Rehabilitation Services ,,,,
Rowe Resources,Event planning and non-profit management   ,WBE,SLBE,,No,No,"18 Tremont Street, Suite 401, Boston, MA 2108",Boston,MA,2108,Cindy Rowe,,(617) 742-1836,,,,Sole Proprietorship,No,,Less than 10,,,,561920 - Convention and Trade Show Organizers,561110 - Office Administrative Services,,,,
Royal Label and Printing Company,"Pressure sensitive labels, decals and tags   ",,SLBE,,No,Yes,"50 Park Street, Alsen-Mapes Industrial Park, Dorchester, MA 2122",Dorchester,MA,2122,"Paul Clifford, Jr.",,(617) 825-6050,,pdc@royallabel.com,,Sole Proprietorship,No,,Less than 10,PT - Printers,,,,541870 - Advertising Material Distribution Services,,55100000 - Printed media,,
S. Barzola Concrete Corp.,"Concrete:  walkways, HC ramps, stairs, foundations, concrete for elevators, retainer walls, etc.; painting:  interior; bricks, caulking joints   ",MWBE,SBE,,No,Yes,"1183 Main Street, Weymouth, MA 2190",Weymouth,MA,2190,Sonia Barzola,,(781) 817-6485,(781) 817-6547,info@sbarzolaconcretecorp.com,,Corporation,Yes,01/01/2013,Less than 10,CM - Concrete & Masonry Contractors,PA - Painting and Papering Contractors,,238320 - Painting and Wall Covering Contractors,238110 - Poured Concrete Foundation and Structure Contractors ,,,,
"saam architecture, LLC",Architectural design; master planning; interior design services   ,WBE,SLBE,,Yes,Yes,"283 Franklin Street, 6th Floor, Boston, MA 02110",Boston,MA,02110,Diana Nicklaus,Ms. Diana Nicklaus,(617) 275-4453,,info@saam-arch.com,https://saam-arch.com,Limited Liability Company (LLC),No,01/01/2014,21 - 40,AE - Architects/Engineers,IT - Interior Deisgn Services,"COA - Consultants: Architecture, Engineering",541310 - Architectural Services,541410 - Interior Design Services,541330 - Engineering Services,72120000 - Nonresidential building construction services,,
"Sally Muspratt Landscape Design, Inc.",Landscape design; and lecturer   ,WBE,SLBE,,No,No,"10 Linnet Street, West Roxbury, MA 2132",West Roxbury,MA,2132,Sally Muspratt,,(617) 327-2401,,,,Corporation,No,01/01/1996,Less than 10,"LD - Landscaping (Design, Architects)","ED - Education (see also OS, TA)",,541320 - Landscape Architectural Services,,,,,
"Seacoast Asphalt Services, Inc.",Supply and delivery of asphalt products and aggregates   ,WBE,SBE,,Yes,No,"P.O. Box 98, Hatfield, MA 1038",Hatfield,MA,1038,Jennifer Nicolai,Ms. Jennifer Nicolai,(413) 773-9247,(413) 247-0232,jenn.nicolai@gmail.com,seacoastasphalt.com,Corporation,Yes,01/01/1992,Less than 10,PV - Paving Contractors,"RO - Road, Railroad, Highway, Bridge Contractors (see also PV)",SU - Suppliers,"423320 - Brick, Stone, and Related Construction Material Merchant Wholesalers ","237310 - Highway, Street, and Bridge Construction ",,72150000 - Specialized trade construction and maintenance services,,
Sharp Cleaning Company,"General cleaning, commercial, residential, disinfectant",MWBE,SBE,,No,No,"598 N Montello, Brockton, MA 02301",Brockton,MA,02301,Alcinda James,,(508) 631-8338,,sharpcleaning0916@gmail.com,https://sharp-cleaning.com/,Sole Proprietorship,No,01/01/2019,Less than 10,"JA - Janitorial Services/Supplies (see also MA, RS)","MA - Maintenance (Industrial, Commericial, Residential, see also JA, RS)",RS - Residential Services,561720 - Janitorial Services ,561740 - Carpet and Upholstery Cleaning Services,238330 - Flooring Contractors,76110000 - Cleaning and janitorial services,47130000 - Cleaning and janitorial supplies,
"Shawmut Environmental, LLC","Environmental and safety consulting, including compliance, auditing and training   ",WBE,SLBE,,No,No,"23 Samoset Street, Dorchester, MA 2124",Dorchester,MA,2124,Ardis Vaughan,,(617) 981-5201,,ardisvaughan@gmail.com,shawmutenvironmental.com,Limited Liability Company,No,01/01/2011,Less than 10,"EN - Environmental Consultants ( Planning, Soil Boring, Hazardous Waste Treatment, etc.)",CON - Consultants: Environmental,TA - Training (see also ED),541620 - Environmental Consulting Services,,,77100000 - Environmental management,46180000 - Personal safety and protection,
"Silverweave, Inc.",Event Planning   ,WBE,SLBE,,No,No,"75 Arlington Street, 5th Floor, Boston, MA 02116",Boston,MA,02116,Shayne Gilbert,,(833) 437-1400,,sgilbert@silverweave.com,silverweave.com,Corporation,No,01/01/1994,Less than 10,MK - Marketing,,,561920 - Convention and Trade Show Organizers,,,80140000 - Marketing and distribution,,
Sir Speedy Printing,"A printer with 37 years of experience in offset printing, black and white and full color digital printing, graphic design, typesetting and bindery to create high quality letterhead, envelopes, business cards, reports, brochures, posters, variable data pro   ",,SLBE,,No,Yes,"One Milk Street, Boston, MA 2109",Boston,MA,2109,Matt Lynch,,(617) 227-2237,(617) 227-7611,matthew@sirspeedyboston.com,,Corporation,No,01/01/1976,20-Nov,PT - Printers,,,,,,55100000 - Printed media,82121500 - Printing Services,
